Name,National,Region,Male_Pct,Female_Pct,Types,Type1,Type2,Height.m.,Weight.kg.,Capt_Rate,Egg_Steps,Egg_Groups,Group1,Group2,Exp_Points,Exp_Speed,Base_Happiness,Base_Total,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,Normal_Dmg,Fire_Dmg,Water_Dmg,Eletric_Dmg,Grass_Dmg,Ice_Dmg,Fight_Dmg,Poison_Dmg,Ground_Dmg,Flying_Dmg,Psychic_Dmg,Bug_Dmg,Rock_Dmg,Ghost_Dmg,Dragon_Dmg,Dark_Dmg,Steel_Dmg,Fairy_Dmg,Mega_Evolutions,isMega,hasAlolan,isAlolan,Generation,Legendary
Weedle,13,Kanto,50,50,2,bug,poison,0.3,3.2,255,3840,1,Bug,None,1000000,Medium Fast,70,195,40,35,30,20,20,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Kakuna,14,Kanto,50,50,2,bug,poison,0.6,10,120,3840,1,Bug,None,1000000,Medium Fast,70,205,45,25,50,25,25,35,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Beedrill,15,Kanto,50,50,2,bug,poison,1,29.5,45,3840,1,Bug,None,1000000,Medium Fast,70,395,65,90,40,45,80,75,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1,FALSE,FALSE,FALSE,1,FALSE
Mega Beedrill,15,Kanto,50,50,2,bug,poison,1.4,40.5,45,3840,1,Bug,None,1000000,Medium Fast,70,495,65,150,40,15,80,145,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,TRUE,FALSE,FALSE,1,FALSE
Pidgey,16,Kanto,50,50,2,normal,flying,0.3,1.8,255,3840,1,Flying,None,1059862,Medium Slow,70,251,40,45,40,35,35,56,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Pidgeotto,17,Kanto,50,50,2,normal,flying,1.1,30,120,3840,1,Flying,None,1059862,Medium Slow,70,349,63,60,55,50,50,71,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Pidgeot,18,Kanto,50,50,2,normal,flying,1.5,39.5,45,3840,1,Flying,None,1059862,Medium Slow,70,479,83,80,75,70,70,101,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE
Mega Pidgeot,18,Kanto,50,50,2,normal,flying,2.2,50.5,45,3840,1,Flying,None,1059862,Medium Slow,70,579,83,80,80,135,80,121,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,TRUE,FALSE,FALSE,1,FALSE
Rattata,19,Kanto,50,50,1,normal,None,0.3,3.5,255,3840,1,Field,None,1000000,Medium Fast,70,253,30,56,35,25,35,72,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Rattata(alolan),19,Kanto,50,50,2,dark,normal,0.3,3.8,255,3840,1,Field,None,1000000,Medium Fast,70,253,30,56,35,25,35,72,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,0,FALSE,FALSE,TRUE,1,FALSE
Raticate,20,Kanto,50,50,1,normal,None,0.7,18.5,127,3840,1,Field,None,1000000,Medium Fast,70,413,55,81,60,50,70,97,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Raticate(alolan),20,Kanto,50,50,2,dark,normal,0.7,25.5,127,3840,1,Field,None,1000000,Medium Fast,70,413,75,71,70,40,80,77,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,0,FALSE,FALSE,TRUE,1,FALSE
Spearow,21,Kanto,50,50,2,normal,flying,0.3,2,255,3840,1,Flying,None,1000000,Medium Fast,70,262,40,60,30,31,31,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Fearow,22,Kanto,50,50,2,normal,flying,1.2,38,90,3840,1,Flying,None,1000000,Medium Fast,70,442,65,90,65,61,61,100,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Ekans,23,Kanto,50,50,1,poison,None,2,6.9,255,5120,2,Field,Dragon,1000000,Medium Fast,70,288,35,60,44,40,54,55,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Arbok,24,Kanto,50,50,1,poison,None,3.5,65,90,5120,2,Field,Dragon,1000000,Medium Fast,70,448,60,95,69,65,79,80,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Pikachu,25,Kanto,50,50,1,electric,None,0.4,6,190,2560,2,Field,Fairy,1000000,Medium,70,320,35,55,40,50,50,90,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Raichu,26,Kanto,50,50,1,electric,None,0.8,30,75,2560,2,Field,Fairy,1000000,Medium Fast,70,485,60,90,55,90,80,110,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,FALSE,TRUE,FALSE,1,FALSE
Raichu(alolan),26,Kanto,50,50,2,electric,psychic,0.7,21,75,2560,2,Field,Fairy,1000000,Medium Fast,70,485,60,85,50,95,85,110,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1,0,FALSE,FALSE,TRUE,1,FALSE
Sandshrew,27,Kanto,50,50,1,ground,None,0.6,12,255,5120,1,Field,None,1000000,Medium Fast,70,300,50,75,85,20,30,40,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Sandshrew(alolan),27,Kanto,50,50,2,ice,steel,0.7,40,255,5120,1,Field,None,1000000,Medium Fast,70,300,50,75,90,10,35,40,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,0,FALSE,FALSE,TRUE,1,FALSE
Sandslash,28,Kanto,50,50,1,ground,None,1,29.5,90,5120,1,Field,None,1000000,Medium Fast,70,450,75,100,110,45,55,65,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Sandslash(alolan),28,Kanto,50,50,2,ice,steel,1.2,55,90,5120,1,Field,None,1000000,Medium Fast,70,450,75,100,120,25,65,65,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,0,FALSE,FALSE,TRUE,1,FALSE
Nidoran,29,Kanto,0,100,1,poison,None,0.4,7,235,5120,2,Monster,Field,1059862,Medium Slow,70,275,55,47,52,40,40,41,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Nidorina,30,Kanto,0,100,1,poison,None,0.8,20,120,5120,0,None,None,1059862,Medium Slow,70,365,70,62,67,55,55,56,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Nidoqueen,31,Kanto,0,100,2,poison,ground,1.3,60,45,5120,0,None,None,1059862,Medium Slow,70,505,90,92,87,75,85,76,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Nidoran,32,Kanto,100,0,1,poison,None,0.5,9,235,5120,2,Monster,Field,1059862,Medium Slow,70,273,46,57,40,40,40,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Nidorino,33,Kanto,100,0,1,poison,None,0.9,19.5,120,5120,2,Monster,Field,1059862,Medium Slow,70,365,61,72,57,55,55,65,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Nidoking,34,Kanto,100,0,2,poison,ground,1.4,62,45,5120,2,Monster,Field,1059862,Medium Slow,70,505,81,102,77,85,75,85,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Clefairy,35,Kanto,24.6,75.4,1,fairy,None,0.6,7.5,150,2560,1,Fairy,None,800000,Fast,140,323,70,45,48,60,65,35,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,FALSE,FALSE,FALSE,1,FALSE
Clefable,36,Kanto,24.6,75.4,1,fairy,None,1.3,40,25,2560,1,Fairy,None,800000,Fast,140,483,95,70,73,95,90,60,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,FALSE,FALSE,FALSE,1,FALSE
Vulpix,37,Kanto,24.6,75.4,1,fire,None,0.6,9.9,190,5120,1,Field,None,1000000,Medium Fast,70,299,38,41,40,50,65,65,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,FALSE,TRUE,FALSE,1,FALSE
Vulpix(alolan),37,Kanto,24.6,75.4,1,ice,None,0.6,9.9,190,5120,1,Field,None,1000000,Medium Fast,70,299,38,41,40,50,65,65,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,0,FALSE,FALSE,TRUE,1,FALSE
Ninetales,38,Kanto,24.6,75.4,1,fire,None,1.1,19.9,75,5120,1,Field,None,1000000,Medium Fast,70,505,73,76,75,81,100,100,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,FALSE,TRUE,FALSE,1,FALSE
Ninetales(alolan),38,Kanto,24.6,75.4,2,ice,fairy,1.1,19.9,75,5120,1,Field,None,1000000,Medium Fast,70,505,73,67,75,81,100,109,1,2,1,1,1,0.5,1,2,1,1,1,0.5,2,1,0,0.5,4,1,0,FALSE,FALSE,TRUE,1,FALSE
Jigglypuff,39,Kanto,24.6,75.4,2,normal,fairy,0.5,5.5,170,2560,1,Fairy,None,800000,Fast,70,270,115,45,20,45,25,20,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0,FALSE,FALSE,FALSE,1,FALSE
Wigglytuff,40,Kanto,24.6,75.4,2,normal,fairy,1,12,50,2560,1,Fairy,None,800000,Fast,70,435,140,70,45,85,50,45,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0,FALSE,FALSE,FALSE,1,FALSE
Zubat,41,Kanto,50,50,2,poison,flying,0.8,7.5,255,3840,1,Flying,None,1000000,Medium Fast,70,245,40,45,35,30,40,55,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Golbat,42,Kanto,50,50,2,poison,flying,1.6,55,90,3840,1,Flying,None,1000000,Medium Fast,70,455,75,80,70,65,75,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Oddish,43,Kanto,50,50,2,grass,poison,0.5,5.4,255,5120,1,Grass,None,1059862,Medium Slow,70,320,45,50,55,75,65,30,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Gloom,44,Kanto,50,50,2,grass,poison,0.8,8.6,120,5120,1,Grass,None,1059862,Medium Slow,70,395,60,65,70,85,75,40,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Vileplume,45,Kanto,50,50,2,grass,poison,1.2,18.6,45,5120,1,Grass,None,1059862,Medium Slow,70,490,75,80,85,110,90,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Paras,46,Kanto,50,50,2,bug,grass,0.3,5.4,190,5120,1,Bug,None,1000000,Medium Fast,70,285,35,70,55,45,55,25,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Parasect,47,Kanto,50,50,2,bug,grass,1,29.5,75,5120,1,Bug,None,1000000,Medium Fast,70,405,60,95,80,60,80,30,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Venonat,48,Kanto,50,50,2,bug,poison,1,30,190,5120,1,Bug,None,1000000,Medium Fast,70,305,60,55,50,40,55,45,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Venomoth,49,Kanto,50,50,2,bug,poison,1.5,12.5,75,5120,1,Bug,None,1000000,Medium Fast,70,450,70,65,60,90,75,90,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Diglett,50,Kanto,50,50,1,ground,None,0.2,0.8,255,5120,1,Field,None,1000000,Medium Fast,70,265,10,55,25,35,45,95,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Diglett(alolan),50,Kanto,50,50,2,ground,steel,0.2,1,255,5120,1,Field,None,1000000,Medium Fast,70,265,10,55,30,35,45,90,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,0,FALSE,FALSE,TRUE,1,FALSE
Dugtrio,51,Kanto,50,50,1,ground,None,0.7,33.3,50,5120,1,Field,None,1000000,Medium Fast,70,425,35,100,50,50,70,120,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Dugtrio(alolan),51,Kanto,50,50,2,ground,steel,0.7,66.6,50,5120,1,Field,None,1000000,Medium Fast,70,425,35,100,60,50,70,110,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,0,FALSE,FALSE,TRUE,1,FALSE
Meowth,52,Kanto,50,50,1,normal,None,0.4,4.2,255,5120,1,Field,None,1000000,Medium Fast,70,290,40,45,35,40,40,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Meowth(alolan),52,Kanto,50,50,1,dark,None,0.4,4.2,255,5120,1,Field,None,1000000,Medium Fast,70,290,40,35,35,50,40,90,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,FALSE,FALSE,TRUE,1,FALSE
Persian,53,Kanto,50,50,1,normal,None,1,32,90,5120,1,Field,None,1000000,Medium Fast,70,440,65,70,60,65,65,115,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,FALSE,TRUE,FALSE,1,FALSE
Persian(alolan),53,Kanto,50,50,1,dark,None,1.1,33,90,5120,1,Field,None,1000000,Medium Fast,70,440,65,60,60,75,65,115,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,FALSE,FALSE,TRUE,1,FALSE
Psyduck,54,Kanto,50,50,1,water,None,0.8,19.6,190,5120,2,Water 1,Field,1000000,Medium Fast,70,320,50,52,48,65,50,55,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Golduck,55,Kanto,50,50,1,water,None,1.7,76.6,75,5120,2,Water 1,Field,1000000,Medium Fast,70,500,80,82,78,95,80,85,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Mankey,56,Kanto,50,50,1,fighting,None,0.5,28,190,5120,1,Field,None,1000000,Medium Fast,70,305,40,80,35,35,45,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,FALSE,FALSE,FALSE,1,FALSE
Primeape,57,Kanto,50,50,1,fighting,None,1,32,75,5120,1,Field,None,1000000,Medium Fast,70,455,65,105,60,60,70,95,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,FALSE,FALSE,FALSE,1,FALSE
Growlithe,58,Kanto,75.4,24.6,1,fire,None,0.7,19,190,5120,1,Field,None,1250000,Slow,70,350,55,70,45,70,50,60,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Arcanine,59,Kanto,75.4,24.6,1,fire,None,1.9,155,75,5120,1,Field,None,1250000,Slow,70,555,90,110,80,100,80,95,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Poliwag,60,Kanto,50,50,1,water,None,0.6,12.4,255,5120,1,Water 1,None,1059862,Medium Slow,70,300,40,50,40,40,40,90,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Poliwhirl,61,Kanto,50,50,1,water,None,1,20,120,5120,1,Water 1,None,1059862,Medium Slow,70,385,65,65,65,50,50,90,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,FALSE,FALSE,FALSE,1,FALSE
Poliwrath,62,Kanto,50,50,2,water,fighting,1.3,54,45,5120,1,Water 1,None,1059862,Medium Slow,70,510,90,95,95,70,90,70,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,0,FALSE,FALSE,FALSE,1,FALSE
Abra,63,Kanto,75.4,24.6,1,psychic,None,0.9,19.5,200,5120,1,Human-like,None,1059862,Medium Slow,70,310,25,20,15,105,55,90,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Kadabra,64,Kanto,75.4,24.6,1,psychic,None,1.3,56.5,100,5120,1,Human-like,None,1059862,Medium Slow,70,400,40,35,30,120,70,105,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,FALSE,FALSE,FALSE,1,FALSE
Alakazam,65,Kanto,75.4,24.6,1,psychic,None,1.5,48,50,5120,1,Human-like,None,1059862,Medium Slow,70,500,55,50,45,135,95,120,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,FALSE,FALSE,FALSE,1,FALSE
Mega Alakazam,65,Kanto,75.4,24.6,1,psychic,None,1.2,48,50,5120,1,Human-like,None,1059862,Medium Slow,70,600,55,50,65,175,105,150,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,TRUE,FALSE,FALSE,1,FALSE
Machop,66,Kanto,75.4,24.6,1,fighting,None,0.8,19.5,180,5120,1,Human-like,None,1059862,Medium Slow,70,305,70,80,50,35,35,35,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,FALSE,FALSE,FALSE,1,FALSE
Machoke,67,Kanto,75.4,24.6,1,fighting,None,1.5,70.5,90,5120,1,Human-like,None,1059862,Medium Slow,70,405,80,100,70,50,60,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,FALSE,FALSE,FALSE,1,FALSE
Machamp,68,Kanto,75.4,24.6,1,fighting,None,1.6,130,45,5120,1,Human-like,None,1059862,Medium Slow,70,505,90,130,80,65,85,55,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,FALSE,FALSE,FALSE,1,FALSE
Bellsprout,69,Kanto,50,50,2,grass,poison,0.7,4,255,5120,1,Grass,None,1059862,Medium Slow,70,300,50,75,35,70,30,40,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Weepinbell,70,Kanto,50,50,2,grass,poison,1,6.4,120,5120,1,Grass,None,1059862,Medium Slow,70,390,65,90,50,85,45,55,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Victreebel,71,Kanto,50,50,2,grass,poison,1.7,15.5,45,5120,1,Grass,None,1059862,Medium Slow,70,490,80,105,65,100,70,70,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Tentacool,72,Kanto,50,50,2,water,poison,0.9,45.5,190,5120,1,Water 3,None,1250000,Slow,70,335,40,40,35,50,100,70,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Tentacruel,73,Kanto,50,50,2,water,poison,1.6,55,60,5120,1,Water 3,None,1250000,Slow,70,515,80,70,65,80,120,100,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0,FALSE,FALSE,FALSE,1,FALSE
Geodude,74,Kanto,50,50,2,rock,ground,0.4,20,255,3840,1,Mineral,None,1059862,Medium Slow,70,300,40,80,100,30,30,20,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,FALSE,TRUE,FALSE,1,FALSE
Geodude(alolan),74,Kanto,50,50,2,rock,electric,0.4,20.3,255,3840,1,Mineral,None,1059862,Medium Slow,70,300,40,80,100,30,30,20,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,0,FALSE,FALSE,TRUE,1,FALSE
Graveler,75,Kanto,50,50,2,rock,ground,1,105,120,3840,1,Mineral,None,1059862,Medium Slow,70,390,55,95,115,45,45,35,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0,FALSE,TRUE,FALSE,1,FALSE
